emp_no,salary
10001,60117
10002,65828
10003,40006
10004,40054
10005,78228
10006,40000
10007,56724
10008,46671
10009,60929
10010,72488
10011,42365
10012,40000
10013,40000
10014,46168
10015,40000
10016,70889
10017,71380
10018,55881
10019,44276
10020,40000
10021,55025
10022,40000
10023,47883
10024,83733
10025,40000
10026,47585
10027,40000
10028,48859
10029,63163
10030,66956
10031,40000
10032,48426
10033,51258
10034,47561
10035,41538
10036,42819
10037,40000
10038,40000
10039,40000
10040,52153
10041,56893
10042,81662
10043,49324
10044,40919
10045,41971
10046,40000
10047,54982
10048,40000
10049,40000
10050,74366
10051,48817
10052,57212
10053,67854
10054,40000
10055,80024
10056,48857
10057,49616
10058,52787
10059,71218
10060,74686
10061,68577
10062,55685
10063,40000
10064,40000
10065,40000
10066,69736
10067,44642
10068,87964
10069,67932
10070,55999
10071,40000
10072,40000
10073,56473
10074,61714
10075,43815
10076,47319
10077,40000
10078,47280
10079,53492
10080,54916
10081,55786
10082,48935
10083,40000
10084,69811
10085,40000
10086,81613
10087,96750
10088,65957
10089,56469
10090,44978
10091,40000
10092,53977
10093,67856
10094,58001
10095,63668
10096,61395
10097,44886
10098,40000
10099,68781
10100,54398
10101,66591
10102,44380
10103,68158
10104,45312
10105,59258
10106,62928
10107,93159
10108,40000
10109,40000
10110,46836
10111,40000
10112,49500
10113,69856
10114,49593
10115,40000
10116,44034
10117,52284
10118,40000
10119,53551
10120,46292
10121,43772
10122,42284
10123,71524
10124,40583
10125,58249
10126,40000
10127,40000
10128,40000
10129,40000
10130,40000
10131,48475
10132,61590
10133,40000
10134,40000
10135,40000
10136,82420
10137,40000
10138,53574
10139,40000
10140,61352
10141,62907
10142,40000
10143,40000
10144,56720
10145,47612
10146,60394
10147,40000
10148,63021
10149,88740
10150,70122
10151,90741
10152,40000
10153,54246
10154,40000
10155,40040
10156,49879
10157,48770
10158,40725
10159,52881
10160,91622
10161,43149
10162,40000
10163,41603
10164,52043
10165,43991
10166,51586
10167,56990
10168,51818
10169,70303
10170,47183
10171,41311
10172,41197
10173,85757
10174,59520
10175,72285
10176,54635
10177,48041
10178,50568
10179,40000
10180,52444
10181,40000
10182,40380
10183,40000
10184,48586
10185,68334
10186,40000
10187,71454
10188,62365
10189,41222
10190,40000
10191,40000
10192,40000
10193,48733
10194,64941
10195,40000
10196,86671
10197,40000
10198,44076
10199,42042
10200,46879
10201,40000
10202,47338
10203,40000
10204,40000
10205,40000
10206,40000
10207,52783
10208,61890
10209,57996
10210,40000
10211,49032
10212,65938
10213,40000
10214,58341
10215,43944
10216,40000
10217,40000
10218,40788
10219,40000
10220,58883
10221,57821
10222,40000
10223,62922
10224,40000
10225,40000
10226,79456
10227,53497
10228,79474
10229,58321
10230,47531
