emp_no,exit_date,exit_reason
473302,2/22/95,2
475053,3/24/00,1
273487,5/6/01,2
477657,1/13/08,3
205246,4/20/96,4
67799,9/18/99,3
35270,1/22/03,1
430653,9/15/98,3
259126,9/7/96,4
451259,11/3/00,2
256701,8/12/98,6
205366,8/11/01,3
101013,1/7/98,7
223670,7/16/04,4
437985,4/18/01,3
14097,8/15/99,2
28823,9/21/92,3
207774,4/2/99,1
492191,9/4/06,6
414885,1/17/08,7
250218,6/22/96,3
451340,5/12/02,4
217945,8/15/93,4
53312,10/29/94,5
496429,4/26/99,6
439788,1/10/94,3
416364,10/2/98,4
218042,3/10/03,3
260621,4/11/07,3
260402,3/10/04,4
489740,10/22/95,5
486205,7/31/97,3
476968,11/27/89,5
93898,4/19/04,3
496161,10/17/98,2
272646,8/7/99,2
46470,4/28/96,5
437837,6/2/05,4
480539,3/17/01,7
57730,9/21/95,4
279067,5/6/03,4
422297,6/8/98,7
459062,9/14/10,5
494817,11/10/93,4
51016,3/27/06,1
442026,7/23/01,2
441662,1/31/98,2
41986,10/16/91,2
50928,11/13/96,3
35711,5/17/99,2
488918,12/15/00,5
19621,3/29/02,2
451322,7/23/99,1
497659,7/21/09,4
273830,12/5/93,1
77286,5/27/02,2
272976,12/29/95,6
287553,8/31/00,4
451811,4/6/99,5
264944,2/14/02,7
231612,11/6/93,3
261707,7/30/02,2
80837,11/2/94,6
473097,4/17/93,4
441769,2/8/00,1
86833,11/24/96,6
231552,11/29/09,1
279041,3/28/95,4
439346,3/8/11,2
105131,11/18/00,6
297441,5/5/95,4
49123,12/5/05,1
40518,8/30/01,5
461748,4/15/05,3
81567,12/1/07,3
245896,4/25/01,2
221980,10/17/06,7
207413,11/29/92,5
94829,10/3/04,4
202330,1/22/93,6
19818,12/28/94,6
93207,5/31/10,1
437528,4/3/96,1
48485,1/10/00,6
452156,10/3/93,2
264327,6/4/95,5
450325,11/10/95,6
213241,11/27/96,6
109457,10/22/98,4
24584,8/4/07,3
468996,11/21/90,3
243011,3/4/06,3
468684,6/23/91,1
415158,10/28/97,4
227022,12/2/01,2
241516,11/15/03,5
476667,11/29/95,1
268741,2/2/00,1
39795,3/21/05,7
452075,7/4/04,7
403370,10/8/94,3
42948,2/14/08,5
410482,3/4/99,6
